,Number,Name,Prov.Desig,Taxon,a,e,i,H,nu6,5/2,2/1,HUN,3/1,PHO,JFC
1127,-999999,,2005JO3,V,1.3675266975409497,0.3309595266453431,29.114838764614852,20.15,0.9417483497335434,2.0780380085727064,0.0,0.5950767921756003,1.1598232272553575,0.5354040474262501,0.0
1128,187040,,2005JS108,C,1.3562054922074134,0.3225349891086819,6.0401932361347095,19.14,1.4635882653841854,0.0,1.589700289517414,0.4604120635546111,0.3421484920487331,0.06005653925140215,0.0
1129,-999999,,2005JT81,V,2.822447904636022,0.5937096364457999,8.522218463968011,19.98,0.021192839074504692,9.089075150264172,2.1330576636458636,0.0011599937469309947,0.551303238029889,0.0075070674064252685,3.3354159076639274
1130,612982,,2005JU108,C,2.1239467631157574,0.4626005008668608,6.535922965869134,19.61,1.6563486105968779,0.03935340220097454,0.0,0.014869010756115476,0.08492911502967991,0.002101978873799075,0.006549663048922784
1131,469722,,2005LP40,S,1.9630264224917808,0.5477317535901721,23.62619480910202,19.4,0.7279470249620076,1.5028986262644128,0.563780771932229,0.6079421773688349,1.30075307751561,4.835151975130387,0.0
1132,198856,,2005LR3,S,1.6538519299542485,0.3352544136366901,24.995037396737928,16.87,0.4923960428918758,0.05841694830966191,0.010449180271700957,7.294673404564056,0.04032052936601232,0.139931736455767,0.0
1133,-999999,,2005LV3,C,2.2106345236554352,0.4369833762968337,7.285542336509201,19.46,1.6410276727946085,0.06198439553467944,0.0,0.005799968734654973,0.1356177805183811,0.0018016961775420646,0.006549663048922784
1134,-999999,,2005LV7,S,2.4356743472720352,0.5530186618211156,8.896764592456107,19.16,0.38487950580370384,1.8541806952028568,0.3168001473283881,0.010756305653360132,3.8029939292981236,0.05254947184497688,0.1571919131741468
1135,374267,,2005LW,S,1.4675367565109594,0.6404608033976436,3.1349552353826273,18.98,1.4397969412639213,0.33221852282975667,0.03182250355472564,0.19730439095526284,0.6103120127528467,0.06486106239151432,0.0
1136,-999999,,2005LZ42,C,2.0997978449605528,0.4949719260751921,7.264555186654816,21.31,1.5650472951254248,0.04637681392522777,0.0014248882188683124,0.1684100012589817,0.33421238785605767,0.0024022615700560863,0.0
1137,366833,,2005MC,S,2.6171095782099134,0.5921518230882316,27.27623361204473,16.53,0.005956267669824966,4.467112822076627,0.21040849365288747,0.00885813406747305,3.6473438857772633,0.3666451721298101,0.6885333280180077
1138,-999999,,2005MW1,S,2.8611859738440937,0.5635250553561162,6.3768629146995215,19.42,0.043752413789960726,9.00891907042706,1.7896596028986003,0.002109079539874536,0.5358150346861192,0.003603392355084129,3.62360108181653
1139,399774,,2005NB7,V,2.043489800827611,0.5180321628591141,12.707257904629257,18.58,1.215281083998508,0.7140468586324132,0.5571312935775102,0.4989027651573214,0.8968437746125882,0.49636729691283876,0.0
1140,363814,,2005ND7,S,1.9638368295276143,0.4826512287619976,52.583584861165676,17.94,0.5454456336962091,0.881047981853546,0.09119284600757199,1.4878501614044912,1.3180333043867583,7.4698323520894,0.0
1141,-999999,,2005NE7,C,2.046390333967256,0.6469945983359605,9.530801744727272,19.01,1.4571595458878588,0.45139355669049824,0.12254038682267486,0.13698471611485108,0.5022145935477756,0.03993759860218243,0.04584764134245948
1142,469737,,2005NW44,S,0.7793021395257805,0.4832187203371257,6.073069351972147,20.37,1.4260114718977828,0.009698997143016386,0.003324739177359395,0.3792125012694415,0.72992958320535,0.11771081693274821,0.0
1143,-999999,,2005NY39,C,2.256154900213278,0.4869796215785495,2.9496684054405744,20.64,1.4606860613071038,0.055295431987771586,0.0,0.025308954478494426,0.796362455398875,0.007807350102682279,0.1866653968942993
1144,405562,,2005OJ3,S,2.6997280895862947,0.544081192076511,4.513380478909074,18.23,0.07199828370295504,5.551059364853045,0.10829150463399174,0.004850882941711432,2.9055101462829,0.0012011307850280431,0.21613888061445186
1145,333521,,2005PO,V,1.2522833751523483,0.3731526596580488,12.511647043735936,20.04,1.451000798863819,0.021962096979014117,0.2688289106264883,0.4049432716559108,0.5725515169973748,0.13722919218945392,0.0
1146,363831,,2005PY16,S,1.9752455476852224,0.5254075035472693,6.416389985095022,19.23,1.5714760146217515,0.06923077271049628,0.003799701916982167,0.1598682291224898,0.2990119257111262,0.014413569420336517,0.000818707881115348
1147,190135,,2005QE30,V,2.01882653159592,0.6881939137864392,6.2172715469808795,17.13,1.330559329664922,0.4393534223060641,0.004274664656604937,0.5370771048290506,0.7489378327636129,0.03933703320966841,0.21941371213891325
1148,-999999,,2005QG88,S,1.7278493737643277,0.4934608552990398,11.317971512925821,20.38,1.4921547276080203,0.2088071453893068,0.3367485823925445,0.24939865559016386,0.4099253818877919,0.06456077969525731,0.0
1149,-999999,,2005QX151,V,2.2950075959869354,0.4729208626641797,7.930117528644033,20.46,1.5950648593878007,0.09743590233329105,0.0,0.009069042021460503,0.28749177446369417,0.0024022615700560863,0.00818707881115348
1150,250697,,2005QY151,S,1.3807004527732771,0.43935126379960177,12.649372413230234,17.89,1.292645070588161,0.4785953417812569,0.0,0.9299986231076766,0.567815454817875,0.4221974709373571,0.0
1151,202411,,2005RC,P,2.1528231271397096,0.7516532495825529,16.261211427605634,17.64,0.8145744420069972,1.7156076670560825,0.370945899645384,0.3056056253278202,1.687958161109855,1.7803761061078167,0.2881851741526025
1152,-999999,,2005RK3,C,1.246914986193396,0.18497611388166224,3.7243153041524084,23.57,1.2924257179544278,0.0,0.13251460435475304,2.2111589896044634,0.13792181076786753,0.0006005653925140216,0.0
1153,-999999,,2005RO33,S,1.9247668416235373,0.4084339814890012,7.3073541376838484,20.23,1.6078548052623822,0.01415830617428829,0.02659791341887516,0.23368601301809855,0.14668992588396862,0.005705371228883205,0.0
1154,504025,,2005RQ6,S,2.507278932982455,0.5498068905266505,12.463076317714314,18.94,0.07554167240171776,4.433556521616307,0.1448636355849451,0.00527269884968634,3.4687175406018023,0.13843032297448196,0.6066625399064728
1155,250706,,2005RR6,S,2.9585826743607564,0.7003264939269152,6.933016196786005,18.49,0.0249049605684466,3.736343554576945,3.0117387319479896,0.002003625562880809,0.24051515771027665,0.006906502013911247,44.920045313155796
1156,434500,,2005SB71,V,1.2635284628240602,0.2571715500095503,13.209932794211529,21.17,1.393732888180006,0.03946488492675633,0.5039354667397599,0.5221026400959413,0.6884570387145944,0.08317830686319197,0.0
